Agent,Network_Size,Episode,Reward,Avg_Reward,Reward_Std,Success_Rate,Action_Deploy,Action_Remove,Action_Nothing,Total_Actions
StaticBaseline,small_network,0,168.6868679229203,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,1,162.45307123223358,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,2,170.16903415383743,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,3,178.76255378799814,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,4,161.51169600060928,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,5,161.51185717941073,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,6,179.31412076196352,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,7,171.3446227184365,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,8,159.20147062008226,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
StaticBaseline,small_network,9,169.13695242431388,163.81045830167488,9.817335768838355,1.0,104,96,800,1000
RuleBaseline,small_network,0,84.12652132880261,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,1,77.77440327989535,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,2,85.63682000135242,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,3,94.39345001037147,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,4,76.81516015787813,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,5,76.815324395954,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,6,94.95548607031246,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,7,86.83472197182174,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,8,74.46108525540122,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
RuleBaseline,small_network,9,84.58514871540103,79.15755440447937,10.003674938996303,1.0,54,44,902,1000
InactiveBaseline,small_network,0,4.561579562075464,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,1,-3.3228165975415065,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,2,6.4361972820302675,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,3,17.30512942131465,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,4,-4.513451395122557,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,5,-4.513247539015869,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,6,18.002741606486058,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,7,7.923060974242452,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,8,-7.43538372976054,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
InactiveBaseline,small_network,9,5.130838504958891,-1.6060173613062587,12.416793211934607,1.0,0,0,1000,1000
RandomBaseline,medium_network,0,519.8817978658118,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,1,474.5229071132404,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,2,530.6664640140937,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,3,593.1953749823195,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,4,467.6731912166317,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,5,467.67436399977015,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,6,597.2087343131107,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,7,539.2203832253645,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,8,450.86332945041516,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
RandomBaseline,medium_network,9,523.1567416506542,484.39964433242596,71.43374779696164,1.0,253,232,515,1000
PPO_BestProduction,medium_network,0,377.9665616463895,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,1,365.7901018074089,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,2,380.86167332245975,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,3,397.64737421918267,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,4,363.9513158684306,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,5,363.95163069858955,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,6,398.72474864126343,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,7,383.15794759226253,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,8,359.43875827940826,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
PPO_BestProduction,medium_network,9,378.8457106028439,368.4414826523596,19.176177961280054,1.0,188,169,643,1000
StaticBaseline,medium_network,0,203.54321042863148,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,1,203.20028091555582,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,2,203.62474638000842,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,3,204.0974874156844,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,4,203.14849460204246,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,5,203.1485034687044,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,6,204.12782985436118,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,7,203.6894170829586,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,8,203.021406006737,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
StaticBaseline,medium_network,9,203.56797018044315,203.27495259797917,0.5400648019108136,1.0,104,96,800,1000
RuleBaseline,medium_network,0,129.08238868544112,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,1,108.66741139924899,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,2,133.93631502277904,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,3,162.07911737017324,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,4,105.58451426208282,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,5,105.58504210438088,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,6,163.88543666546562,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,7,137.78623426702592,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,8,98.01878810680009,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
RuleBaseline,medium_network,9,130.55636439057508,113.11270013197513,32.15066141492621,1.0,54,44,902,1000
InactiveBaseline,medium_network,0,1.5734250725167374,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,1,-2.4492753003547683,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,2,2.5298743995657826,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,3,8.075315861951463,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,4,-3.056749474307966,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,5,-3.0566454648163344,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,6,8.43124480572806,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,7,3.2884876158455736,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,8,-4.547549537381476,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
InactiveBaseline,medium_network,9,1.863866866084459,-1.5733465940929365,6.335176172317588,1.0,0,0,1000,1000
